"Name","Catégorie","Quantité","Statut","Spécification","Prix unitaire (€)","Lien","Notes"
"PCB AMEN_MINI — fabrication","PCB","5","À commander","2 couches, 1,6 mm, HASL (ou ENIG), masque noir, sérigraphie blanche. Gerber et NC Drill vérifiés (Gate G).","","JLCPCB ou PCBWay — choix fab à confirmer","Avant export final : masquer les REF** des 4 trous M3 sur F.SilkS (dernier cran de polish)."
"Teensy 4.1 (sans Ethernet) — avec connecteurs","Cœur","1","À acheter","PJRC Teensy 4.1, Cortex-M7 600 MHz, microSD native, USB. Version AVEC connecteurs (pins mâles soudés) pour montage sur sockets du PCB (U2).","33","https://www.lextronic.fr/teensy-41-sans-ethernet-avec-connecteur-80129.html","La Teensy nue est la norme partout (PJRC vend l'option pins à part). Lextronic réf 80129 = avec connecteur, prête pour les sockets. Alternative nue Gotronic + 2 barrettes mâles 1×24 à souder soi-même."
"Audio Adapter SGTL5000 Rev D2","Cœur audio","1","À acheter","Teensy Audio Adapter PJRC, codec SGTL5000, jacks casque + line intégrés, pins 2×14. Se branche sur J3/J4 au bord du PCB.","12","https://www.gotronic.fr/art-module-audio-pour-teensy-4-0-et-4-1-31545.htm","Confirmer la révision D2 à réception et l'orientation pin 1 par rapport à J3/J4."
"Sockets femelles 1×14, 2,54 mm, THT","Interface","2","À acheter","Sockets femelles droits 1×14, pas 2,54 mm, pour J3 et J4 : les pins mâles de l'Audio Board s'y enfoncent.","1.5","","Footprint PCB : PinHeader_1x14_P2.54mm_Vertical. Vérifier la hauteur pour garder l'Audio Board parallèle au PCB."
"Sockets femelles 1×24, 2,54 mm, THT (Teensy)","Interface","2","À acheter","2 sockets femelles droits 1×24, pas 2,54 mm, soudés sur les 2 rangées de pads du footprint U2 (vérifié : 2×24 pads, écart 15,24 mm). La Teensy avec ses pins s'y enfonce : démontable et réparable.","3","","Empreinte U2 = teensy:Teensy41, 48 pads traversants en 2 rangées de 24. Sockets 1×24 plus faciles à trouver que 2×24. Hauteur stack ~+8,5 mm."
"LEOBOG Reaper Linear Switch (5-pin PCB mount)","Touches MX","21","À acheter","MX-compatible, linéaire, 5 pins PCB mount, 45 gf, pré-lubrifié. SW1…SW21.","","https://fr.aliexpress.com/item/1005007927090867.html","Repris de la BOM AKOR (variante validée). Footprint : SW_Cherry_MX_1.00u_PCB."
"Diodes 1N4148","Touches MX","21","À acheter","1N4148 DO-35 traversante, D1…D21.","0.03","https://fr.aliexpress.com/item/1005009379098965.html","Repris de la BOM AKOR. Pad 1 = cathode (bague noire)."
"EC11 — encodeur rotatif 20 positions, poussoir, axe 20 mm","Interface","7","À acheter","EC11, 20 détentes / 360°, 5 pins, poussoir intégré, fixation M7×0,75. ENC1…ENC7.","0.6","https://fr.aliexpress.com/item/1005007643925677.html","Variante « G 20mm Plum handle » validée sur AKOR. Footprint : RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm."
"OLED SSD1306 I²C 0,91″ 128×32","Interface","1","À acheter","SSD1306 I²C 0,91″ 128×32, 3,3 V. Pinout : 1=GND 2=VCC 3=SCL 4=SDA. J2.","10.9","https://fr.aliexpress.com/item/1005008640108394.html","Repris de la BOM AKOR. PCB 38×12 mm. Vérifier si la barrette mâle est pré-soudée."
"Condensateur céramique 100 nF, 50 V, THT","Passifs","1","À acheter","100 nF / code 104, THT, entraxe 5 mm. C3 (découplage).","","https://fr.aliexpress.com/item/1005011747293156.html","Un seul C3 sur le PCB actuel (le C1 d'AKOR a disparu avec le Pico)."
"Pull-ups I²C optionnelles — 4,7 kΩ","Passifs","2","À confirmer","Deux résistances 4,7 kΩ entre SDA/SCL et +3V3, empreintes DNP.","","","Ne peupler qu'après vérification des pull-ups déjà présentes sur l'OLED et l'Audio Board (bus I²C partagé)."
"Câble micro-USB données","Cœur","1","À acheter","USB-A vers micro-USB, données + alimentation, 1 m. Programmation, USB-MIDI et alimentation de la Teensy.","","https://www.gotronic.fr/art-cordon-1-m-rs625-15092.htm","Pas un câble charge seule."
"Pieds antidérapants Ø8–10 mm","Boîtier","4","À acheter","Pieds caoutchouc ou silicone autocollants.","","","PCB visible sans boîtier : protection de la table et stabilité."
"Visserie M3 — trous de montage","Boîtier","4","À acheter","Vis M3×6-8 mm + écrous, ou entretoises M3 femelle-femelle.","","","4 trous M3 présents sur le PCB. Des entretoises protègent aussi le dessous (stack Teensy/Audio Board)."
